2520	740 752 615 503
2521	906 200 0 740 100 415 33 702
2522	740 615 503
2523	407 585 33 705 233 235 806
2524	151 97 232 416
2525	740 752
2527	151 97 700 34
2528	406 72 2 817
2530	527 556
2531	1 368 861 255 371
2532	717 32 521
2533	298 465 33 705 231 2 564 617 33
2534	740 773 240 235 60 692
2535	820 880 65 244
2536	407 845 140 740 101 923 240 2 861
2537	706 140 632
2538	31 311 745
2539	405 61 70 32 33 706 235 806 2 267 455
2540	740 390 590 233 2 368 202 892 371
2541	368 304 125
2542	740 776 503 2 817
2543	90 740 176 2 861
2544	820 130 35 171
2545	390 16 2 814 560
2546	932 740 55
2548	390 5 2 861 36 460 513
2549	350 1 740 362 692 32 2 861
2551	842 871 192 368 0 740 482 60 692 520 220 235 1 920
2552	90 740 240 235 2 906 140
2553	617 243 706 595
2554	90 740 531 60 692
2556	892 374 740 760 840 416 2 861
2557	740 55 240 235 806 2 220 455 503
2558	740 752 17 503 240 235 806
2559	740 269 511 233 60 820
2560	390 3 2 817
2561	740 32 923 382 233 2 112
2562	740 336 176 2 405 372 374
2563	740 390 590 233 231 2 107
2564	740 794 630 220 32 2 368 906 329
2565	520 220 415
2566	740 690 435 255 220 32 240 235 2 390 125 632 32
2568	391 2 527 475 5
2569	740 636 240 233 235 2 405 125 820
2570	527 550 240 2 817
2571	740 798 231 2 55 373
2572	740 760 33 705 803 2 920 317
2573	617 831 2 1 302 840 32
2574	740 798 240 235 2 220 65 215
2575	740 760 235 2 861
2576	390 820 460 60 368 920
2577	527 550 240 220 32 2 300 350 600 190
2578	740 585 17 33 705 240 798 2 820
2579	740 798 460 350 235 741 390 140
2580	740 904 32 220 415 235 803 2 504 717
2581	90 740 220 16 2 297 190 900 140
2582	236 240 33 705 798 2 820
2584	740 877 32 235 60 550 611 840
2585	226 32 231 798 2 693
2586	740 460 503 2 817
2587	368 3 742 60 920
2591	526 555 60 550
2592	520 33 706 60 220 4
2593	520 220 31 1 706 575
2595	457 0 740 165 900 60 111 575
2596	690 518 0 90 740 176 742 60 920
2597	740 803 231 60 692
2598	226 32 2 390 692
2599	151 279 142 2 390 95
2600	740 255 705 140 3 2 861
2601	400 520 897
2602	595 575 704 140
